Time,Prey,Predator
39.5,2.36294,0.976085
39.6,2.53746,0.961077
39.7,2.72641,0.948013
39.8,2.93083,0.936968
39.9,3.15184,0.928029
40,3.39059,0.921289
40.1,3.64829,0.916854
40.2,3.92604,0.914888
40.3,4.22495,0.91558
40.4,4.5462,0.919128
40.5,4.89098,0.92575
40.6,5.26016,0.935751
40.7,5.6544,0.949495
40.8,6.07447,0.967357
40.9,6.52044,0.989838
41,6.99203,1.01752
41.1,7.48876,1.05102
41.2,8.00885,1.09117
41.3,8.54991,1.1389
41.4,9.10888,1.19524
41.5,9.68035,1.2615
41.6,10.2581,1.33912
41.7,10.8342,1.42971
41.8,11.3976,1.53518
41.9,11.9358,1.65757
42,12.4342,1.79904
42.1,12.8749,1.96168
42.2,13.2384,2.1478
42.3,13.5046,2.35914
42.4,13.6539,2.59653
42.5,13.6678,2.86004
42.6,13.531,3.14851
42.7,13.2366,3.45856
42.8,12.7847,3.78495
42.9,12.1858,4.12039
43,11.459,4.456
43.1,10.6335,4.7816
43.2,9.74182,5.08735
43.3,8.82013,5.36384
43.4,7.90173,5.60375
43.5,7.0181,5.80139
43.6,6.1921,5.95409
43.7,5.43503,6.06258
43.8,4.75432,6.12871
43.9,4.15099,6.15599
44,3.6223,6.14868
44.1,3.16488,6.11091
44.2,2.7701,6.04781
44.3,2.43181,5.96349
44.4,2.14268,5.86199
44.5,1.89627,5.74681
44.6,1.68631,5.62109
44.7,1.50743,5.48745
44.8,1.35493,5.34815
44.9,1.22474,5.20504
45,1.11342,5.05966
45.1,1.01819,4.91327
45.2,0.93672,4.76688
45.3,0.866836,4.62135
45.4,0.806797,4.47737
45.5,0.755264,4.33546
45.6,0.710959,4.19605
45.7,0.672932,4.05947
45.8,0.640418,3.92594
45.9,0.612643,3.79568
46,0.589072,3.6688
46.1,0.569222,3.54541
46.2,0.55272,3.42554
46.3,0.539249,3.30923
46.4,0.528526,3.19648
46.5,0.520386,3.08726
46.6,0.514614,2.98157
46.7,0.511026,2.87935
46.8,0.509446,2.78058
46.9,0.509848,2.68519
47,0.512191,2.5931
47.1,0.516412,2.50425
47.2,0.522449,2.41857
47.3,0.530299,2.336
47.4,0.540019,2.25645
47.5,0.551633,2.17984
47.6,0.565205,2.10609
47.7,0.580797,2.03513
47.8,0.598478,1.96689
47.9,0.618362,1.9013
48,0.640547,1.83828
48.1,0.665162,1.77777
48.2,0.692375,1.71969
48.3,0.722329,1.66398
48.4,0.75523,1.61059
48.5,0.791287,1.55945
48.6,0.830703,1.5105
48.7,0.873755,1.46369
48.8,0.920726,1.41897
48.9,0.971923,1.37629
49,1.02767,1.33561
49.1,1.08835,1.29688
49.2,1.15436,1.26008
49.3,1.22614,1.22516
49.4,1.30413,1.1921
49.5,1.38885,1.16088
49.6,1.48088,1.13148
49.7,1.58083,1.10389
49.8,1.68932,1.07809
49.9,1.80702,1.05408
50,1.93473,1.03187
50.1,2.07322,1.01148
50.2,2.22337,0.992924
50.3,2.38604,0.976235
50.4,2.56221,0.961454
50.5,2.75289,0.948646
50.6,2.95916,0.937875
50.7,3.18212,0.929214
50.8,3.42293,0.922758
50.9,3.68268,0.918658
51,3.96254,0.917062
51.1,4.26374,0.91813
51.2,4.58752,0.922044
51.3,4.93476,0.929087
51.4,5.30637,0.939565
51.5,5.70327,0.953803
51.6,6.12578,0.97224
51.7,6.57403,0.995373
51.8,7.04802,1.02374
51.9,7.54659,1.05807
52,8.06811,1.09915
52.1,8.61053,1.14788
52.2,9.16968,1.2054
52.3,9.74055,1.27301
52.4,10.3172,1.35211
52.5,10.8903,1.44442
52.6,11.4491,1.55182
52.7,11.9815,1.67637
52.8,12.4717,1.82013
52.9,12.9019,1.98536
53,13.2525,2.17433
53.1,13.5044,2.38833
53.2,13.6371,2.62839
53.3,13.6331,2.89436
53.4,13.4777,3.1849
53.5,13.165,3.49631
53.6,12.6965,3.82317
53.7,12.0835,4.15799
53.8,11.3463,4.49181
53.9,10.5145,4.81438
54,9.62067,5.11613
54.1,8.70152,5.38764
54.2,7.7922,5.62136
54.3,6.91942,5.81289
54.4,6.10268,5.96035
54.5,5.35546,6.06389
54.6,4.68412,6.12565
54.7,4.09047,6.14892
54.8,3.57116,6.13808
54.9,3.12072,6.09774
55,2.73299,6.03235
55.1,2.40089,5.94621
55.2,2.11713,5.84333
55.3,1.87491,5.72725
55.4,1.66844,5.60092
55.5,1.49246,5.46693
55.6,1.34258,5.32742
55.7,1.21445,5.18432
55.8,1.10435,5.03923
55.9,1.01008,4.8932
56,0.929881,4.74708
56.1,0.861274,4.60185
56.2,0.802178,4.45828
56.3,0.751286,4.31686
56.4,0.707463,4.17797
56.5,0.66988,4.0419
56.6,0.637806,3.90888
56.7,0.610401,3.77914
56.8,0.587147,3.65279
56.9,0.567853,3.52984
57,0.551993,3.41039
57.1,0.5387,3.29462
57.2,0.527836,3.18249
57.3,0.519797,3.07379
57.4,0.514265,2.96854
57.5,0.510871,2.86679
57.6,0.509618,2.76844
57.7,0.510227,2.67347
57.8,0.512644,2.58184
57.9,0.517134,2.49338
58,0.523295,2.40812
58.1,0.531201,2.32596
58.2,0.541179,2.24676
58.3,0.552899,2.17053
58.4,0.566678,2.09713
58.5,0.582676,2.02647
58.6,0.600426,1.9586
58.7,0.620592,1.89332
58.8,0.643215,1.83056
58.9,0.667829,1.77042
59,0.69548,1.71259
59.1,0.725889,1.65714
59.2,0.758782,1.60411
59.3,0.795482,1.55316
59.4,0.835332,1.50446
59.5,0.87847,1.458
59.6,0.926309,1.41342
59.7,0.977893,1.37101
59.8,1.03392,1.33063
59.9,1.09563,1.29203
60,1.16202,1.25552
60.1,1.23434,1.22085
60.2,1.31355,1.1879
60.3,1.39905,1.15692
60.4,1.49189,1.12776
60.5,1.59284,1.10036
60.6,1.70239,1.07477
60.7,1.82124,1.05097
60.8,1.95018,1.02898
60.9,2.09003,1.00879
61,2.24164,0.990442
61.1,2.4059,0.973968
61.2,2.5838,0.959409
61.3,2.77635,0.94682
61.4,2.98464,0.936271
61.5,3.20979,0.92785
61.6,3.45294,0.92166
61.7,3.71526,0.917822
61.8,3.99788,0.916496
61.9,4.30191,0.917876
62,4.62853,0.922167
62.1,4.97886,0.929603
62.2,5.35365,0.940513
62.3,5.75346,0.955278
62.4,6.17894,0.974296
62.5,6.63057,0.998011
62.6,7.10771,1.02706
62.7,7.60939,1.06214
62.8,8.13416,1.10406
62.9,8.67909,1.15379
63,9.24078,1.21241
63.1,9.81371,1.28126
63.2,10.391,1.36186
63.3,10.964,1.45592
63.4,11.5215,1.56532
63.5,12.0505,1.69212
63.6,12.5353,1.83846
63.7,12.9578,2.00662
63.8,13.2987,2.19858
63.9,13.5376,2.41588
64,13.6533,2.65974
64.1,13.6302,2.92936
64.2,13.4552,3.22295
64.3,13.1215,3.53707
64.4,12.6323,3.86587
64.5,12.0004,4.20158
64.6,11.2483,4.53481
64.7,10.4056,4.85555
64.8,9.50685,5.15384
64.9,8.58792,5.42077
65,7.68021,5.64973
65.1,6.81099,5.83623
65.2,6.00122,5.97821
65.3,5.26235,6.07634
65.4,4.60049,6.13288
65.5,4.01718,6.15122
65.6,3.50742,6.1361
65.7,3.06536,6.09218
65.8,2.68525,6.02375
65.9,2.35973,5.93515
66,2.08184,5.83024
66.1,1.84475,5.71252
66.2,1.64284,5.5849
66.3,1.47056,5.45
66.4,1.32381,5.30985
66.5,1.19827,5.16634
66.6,1.09116,5.02081
66.7,0.999198,4.8746
66.8,0.920591,4.72856
66.9,0.852895,4.58361
67,0.794957,4.44026
67.1,0.744999,4.29913
67.2,0.702256,4.16051
67.3,0.665482,4.02481
67.4,0.634124,3.89217
67.5,0.60735,3.76284
67.6,0.584729,3.63689
67.7,0.565729,3.51444
67.8,0.549975,3.39552
67.9,0.537192,3.28016
68,0.5271,3.16835
68.1,0.519487,3.06008
68.2,0.514161,2.95533
68.3,0.511013,2.85403
68.4,0.509901,2.75615
68.5,0.510765,2.66162
68.6,0.513538,2.57038
68.7,0.518166,2.48236
68.8,0.524661,2.39748
68.9,0.533005,2.31569
69,0.543203,2.23689
69.1,0.555324,2.16102
69.2,0.569403,2.08799
69.3,0.585501,2.01774
69.4,0.60373,1.95018
69.5,0.624172,1.88526
69.6,0.646943,1.82288
69.7,0.672202,1.763
69.8,0.700077,1.70554
69.9,0.730736,1.65043
70,0.764392,1.59761
70.1,0.80126,1.54703
70.2,0.841576,1.49863
70.3,0.885603,1.45235
70.4,0.933626,1.40815
70.5,0.985949,1.36598
70.6,1.04291,1.3258
70.7,1.1049,1.28756
70.8,1.17231,1.25124
70.9,1.24559,1.2168
71,1.32522,1.18422
71.1,1.41174,1.15346
71.2,1.50569,1.12452
71.3,1.6077,1.09738
71.4,1.71842,1.07203
71.5,1.83858,1.04848
71.6,1.96892,1.02673
71.7,2.11025,1.0068
71.8,2.26344,0.988706
71.9,2.42941,0.972492
72,2.60915,0.958199
72.1,2.8037,0.94588
72.2,3.01413,0.935607
72.3,3.2415,0.927478
72.4,3.48696,0.921603
72.5,3.75169,0.918109
72.6,4.0369,0.917141
72.7,4.34387,0.918869
72.8,4.67358,0.923531
72.9,5.02695,0.931402
73,5.40496,0.942783
73.1,5.80847,0.95802
73.2,6.23767,0.977573
73.3,6.69257,1.00196
73.4,7.17294,1.03176
73.5,7.67801,1.06765
73.6,8.20568,1.11049
73.7,8.75335,1.16122
73.8,9.31763,1.2209
73.9,9.89321,1.29087
74,10.4721,1.37285
74.1,11.0448,1.46871
74.2,11.6002,1.58037
74.3,12.1245,1.70985
74.4,12.6017,1.85935
74.5,13.0144,2.03085
74.6,13.3431,2.22627
74.7,13.567,2.44721
74.8,13.6676,2.69422
74.9,13.6259,2.96723
75,13.429,3.26434
75.1,13.0732,3.58126
75.2,12.5626,3.91197
75.3,11.912,4.24825
75.4,11.1443,4.58082
75.5,10.2905,4.89945
75.6,9.38539,5.19432
75.7,8.46529,5.45656
75.8,7.56123,5.67988
75.9,6.69931,5.86033
76,5.89883,5.99624
76.1,5.17134,6.08836
76.2,4.5207,6.13946
76.3,3.94633,6.15336
76.4,3.44483,6.13434
76.5,3.01152,6.08679
76.6,2.63868,6.01543
76.7,2.3195,5.9244
76.8,2.04728,5.81751
76.9,1.81509,5.69823
77,1.6174,5.5694
77.1,1.44883,5.43357
77.2,1.30498,5.2928
77.3,1.18221,5.14881
77.4,1.07712,5.00307
77.5,0.987186,4.85671
77.6,0.91006,4.71071
77.7,0.843823,4.56584
77.8,0.786979,4.42269
77.9,0.738111,4.28178
78,0.696169,4.14348
78.1,0.66022,4.00808
78.2,0.629476,3.87582
78.3,0.603321,3.74686
78.4,0.581203,3.62132
78.5,0.56267,3.49927
78.6,0.547348,3.38077
78.7,0.534941,3.26583
78.8,0.525182,3.15445
78.9,0.517871,3.04661
79,0.512833,2.94227
79.1,0.509935,2.84139
79.2,0.509069,2.74392
79.3,0.510157,2.6498
79.4,0.513142,2.55895
79.5,0.51799,2.47132
79.6,0.524688,2.38683
79.7,0.533237,2.3054
79.8,0.543662,2.22696
79.9,0.556003,2.15143
80,0.570312,2.07874
80.1,0.58666,2.00882
80.2,0.605136,1.94159
80.3,0.625843,1.87697
80.4,0.648899,1.8149
80.5,0.674442,1.75531
80.6,0.70263,1.69813
80.7,0.733644,1.6433
80.8,0.767677,1.59077
80.9,0.804943,1.54046
81,0.845674,1.49232
81.1,0.890138,1.4463
81.2,0.938644,1.40235
81.3,0.991508,1.36043
81.4,1.04907,1.32049
81.5,1.11169,1.28249
81.6,1.17976,1.24639
81.7,1.25379,1.21218
81.8,1.33426,1.17982
81.9,1.42168,1.14929
82,1.5166,1.12057
82.1,1.6196,1.09365
82.2,1.7314,1.06852
82.3,1.85274,1.0452
82.4,1.98437,1.02368
82.5,2.12709,1.00398
82.6,2.28176,0.986124
82.7,2.4493,0.970142
82.8,2.63074,0.956097
82.9,2.8271,0.944047
83,3.03948,0.934056
83.1,3.26901,0.926197
83.2,3.51685,0.920574
83.3,3.78406,0.917363
83.4,4.07183,0.916721
83.5,4.38138,0.91882
83.6,4.71399,0.923847
83.7,5.07086,0.932022
83.8,5.4524,0.943762
83.9,5.85916,0.959473
84,6.29172,0.979572
84.1,6.74991,1.00459
84.2,7.23347,1.0351
84.3,7.74167,1.07176
84.4,8.27202,1.11552
84.5,8.82175,1.16738
84.6,9.38698,1.2285
84.7,9.96159,1.30023
84.8,10.5388,1.38406
84.9,11.1095,1.4817
85,11.6616,1.59514
85.1,12.1816,1.72653
85.2,12.6535,1.87803
85.3,13.0583,2.0518
85.4,13.3752,2.25017
85.5,13.5849,2.47432
85.6,13.6684,2.72462
85.7,13.6088,3.00053
85.8,13.3936,3.3001
85.9,13.0198,3.61884
86,12.4928,3.95045
86.1,11.8279,4.2867
86.2,11.0492,4.61812
86.3,10.1883,4.93442
86.4,9.28003,5.22592
86.5,8.35917,5.48427
86.6,7.45756,5.7031
86.7,6.60022,5.8787
86.8,5.8061,6.00966
86.9,5.0855,6.09704
87,4.44325,6.14344
87.1,3.87856,6.15281
87.2,3.38731,6.12961
87.3,2.96276,6.07868
87.4,2.59837,6.00441
87.5,2.28655,5.91108
87.6,2.01967,5.80261
87.7,1.7922,5.6821
87.8,1.59864,5.55234
87.9,1.43285,5.41602
88,1.29116,5.27503
88.1,1.17105,5.13076
88.2,1.06786,4.98499
88.3,0.979522,4.83872
88.4,0.903599,4.69294
88.5,0.838423,4.54834
88.6,0.782616,4.4055
88.7,0.734539,4.26496
88.8,0.69333,4.12705
88.9,0.657887,3.99211
89,0.6277,3.86028
89.1,0.601949,3.73179
89.2,0.580242,3.6067
89.3,0.562058,3.48512
89.4,0.547066,3.36708
89.5,0.534963,3.2526
89.6,0.525475,3.14167
89.7,0.518425,3.03427
89.8,0.513651,2.93037
89.9,0.511001,2.82992
90,0.510383,2.73287
90.1,0.511709,2.63916
90.2,0.514935,2.54872
90.3,0.520016,2.46148
90.4,0.526944,2.37737
90.5,0.535728,2.29632
90.6,0.546395,2.21825
90.7,0.558983,2.14308
90.8,0.573551,2.07074
90.9,0.590172,2.00115
91,0.608936,1.93425
91.1,0.629947,1.86995
91.2,0.65333,1.80819
91.3,0.679227,1.7489
91.4,0.707795,1.69202
91.5,0.739209,1.63748
91.6,0.773664,1.58521
91.7,0.811389,1.53517
91.8,0.852629,1.4873
91.9,0.897648,1.44154
92,0.946729,1.39784
92.1,1.00019,1.35616
92.2,1.0584,1.31647
92.3,1.12175,1.27871
92.4,1.19064,1.24285
92.5,1.2655,1.20887
92.6,1.34683,1.17674
92.7,1.43521,1.14643
92.8,1.5312,1.11794
92.9,1.63541,1.09124
93,1.74849,1.06634
93.1,1.87119,1.04323
93.2,2.0043,1.02194
93.3,2.14862,1.00247
93.4,2.30502,0.984854
93.5,2.47443,0.969117
93.6,2.65785,0.955325
93.7,2.85633,0.943535
93.8,3.07096,0.933816
93.9,3.3029,0.926246
94,3.55324,0.920952
94.1,3.82313,0.918089
94.2,4.11378,0.917807
94.3,4.42643,0.920277
94.4,4.76229,0.925701
94.5,5.12204,0.934417
94.6,5.50651,0.946759
94.7,5.91646,0.963089
94.8,6.35201,0.983883
94.9,6.81327,1.00965
95,7.29992,1.04097
95.1,7.81034,1.07865
95.2,8.34267,1.12354
95.3,8.89412,1.17665
95.4,9.45975,1.2392
95.5,10.0341,1.31253
95.6,10.6099,1.39818
95.7,11.1768,1.49799
95.8,11.7235,1.6139
95.9,12.236,1.74802
96,12.6975,1.90247
96.1,13.0891,2.07958
96.2,13.3913,2.2812
96.3,13.5843,2.50843
96.4,13.6489,2.76176
96.5,13.5683,3.04056
96.6,13.3328,3.34219
96.7,12.9395,3.66219
96.8,12.3953,3.994
96.9,11.7158,4.32931
97,10.9266,4.65847
97.1,10.0592,4.97136
97.2,9.14854,5.25849
97.3,8.23094,5.51128
97.4,7.33825,5.72359
97.5,6.49247,5.89259
97.6,5.71052,6.01735
97.7,5.00196,6.09913
97.8,4.37078,6.14069
97.9,3.81606,6.14591
98,3.333,6.11941
98.1,2.91633,6.06558
98.2,2.55793,5.98916
98.3,2.25153,5.89407
98.4,1.99023,5.78402
98.5,1.76634,5.66259
98.6,1.57603,5.53214
98.7,1.41397,5.39514
98.8,1.27575,5.25364
98.9,1.15771,5.10931
99,1.05635,4.9636
99.1,0.969783,4.81745
99.2,0.895351,4.67189
99.3,0.831475,4.5276
99.4,0.776728,4.38513
99.5,0.729424,4.24505
99.6,0.689172,4.10756
99.7,0.65435,3.97313
99.8,0.624833,3.8418
99.9,0.599671,3.71381
100,0.578368,3.58928
100.1,0.56075,3.4682
100.2,0.545992,3.35073
100.3,0.534243,3.23678
100.4,0.525071,3.12638
100.5,0.518349,3.0195
100.6,0.513869,2.9161
100.7,0.511473,2.81616
100.8,0.511134,2.7196
100.9,0.5127,2.62637
101,0.516184,2.5364
101.1,0.521521,2.44962
101.2,0.528732,2.36595
101.3,0.537791,2.28533
